statistics_code,jahr,1_variable_code,2_variable_code,ICD-2,anzahl
23131,2019,DINSG,ICD10B,ICD10-F20-F29,126249
23131,2015,DINSG,ICD10B,ICD10-A80-A89,5028
23131,2023,DINSG,ICD10B,ICD10-Q20-Q28,25269
23131,2019,DINSG,ICD10B,ICD10-R70-R79,8040
23131,2023,DINSG,ICD10B,ICD10-C73-C75,21548
23131,2014,DINSG,ICD10B,ICD10-L40-L45,21275
23131,2017,DINSG,ICD10B,ICD10-B85-B89,5941
23131,2021,DINSG,ICD10B,ICD10-D50-D53,48051
23131,2017,DINSG,ICD10B,ICD10-K35-K38,109512
23131,2018,DINSG,ICD10B,ICD10-S50-S59,152880
23131,2022,DINSG,ICD10B,ICD10-H15-H22,23852
23131,2021,DINSG,ICD10B,ICD10-H30-H36,70021
23131,2019,DINSG,ICD10B,ICD10-C69-C72,27873
23131,2023,DINSG,ICD10B,ICD10-J80-J84,22968
23131,2020,DINSG,ICD10B,ICD10-A30-A49,175831
23131,2022,DINSG,ICD10B,ICD10-R20-R23,23026
23131,2023,DINSG,ICD10B,ICD10-T15-T19,14682
23131,2017,DINSG,ICD10B,ICD10-H65-H75,42565
23131,2014,DINSG,ICD10B,ICD10-A70-A74,194
23131,2021,DINSG,ICD10B,ICD10-C81-C96,149656
23131,2015,DINSG,ICD10B,ICD10-N00-N08,8264
23131,2019,DINSG,ICD10B,ICD10-D65-D69,15652
23131,2017,DINSG,ICD10B,ICD10-M05-M14,59269
23131,2021,DINSG,ICD10B,ICD10-N40-N51,113611
23131,2017,DINSG,ICD10B,ICD10-D60-D64,32525
23131,2015,DINSG,ICD10B,ICD10-B15-B19,3605
23131,2015,DINSG,ICD10B,ICD10-D70-D77,9810
23131,2021,DINSG,ICD10B,ICD10-C43-C44,105746
23131,2016,DINSG,ICD10B,ICD10-H00-H06,24433
23131,2017,DINSG,ICD10B,ICD10-F90-F98,29381
23131,2023,DINSG,ICD10B,ICD10-G10-G14,9490
23131,2023,DINSG,ICD10B,ICD10-B35-B49,10436
23131,2014,DINSG,ICD10B,ICD10-Z20-Z29,3943
23131,2016,DINSG,ICD10B,ICD10-A75-A79,148
23131,2015,DINSG,ICD10B,ICD10-M45-M49,160900
23131,2014,DINSG,ICD10B,ICD10-P00-P04,6114
23131,2018,DINSG,ICD10B,ICD10-D37-D48,96639
23131,2017,DINSG,ICD10B,ICD10-H53-H54,8167
23131,2016,DINSG,ICD10B,ICD10-P05-P08,93715
23131,2017,DINSG,ICD10B,ICD10-M95-M99,16800
23131,2019,DINSG,ICD10B,ICD10-P80-P83,3739
23131,2019,DINSG,ICD10B,ICD10-I05-I09,3681
23131,2021,DINSG,ICD10B,ICD10-T20-T32,15729
23131,2017,DINSG,ICD10B,ICD10-N70-N77,27866
23131,2023,DINSG,ICD10B,ICD10-R00-R09,164774
23131,2020,DINSG,ICD10B,ICD10-E70-E90,168315
23131,2023,DINSG,ICD10B,ICD10-U00-U49,422
23131,2022,DINSG,ICD10B,ICD10-M70-M79,141564
23131,2021,DINSG,ICD10B,ICD10-R70-R79,6272
23131,2015,DINSG,ICD10B,ICD10-S90-S99,38278
